Time,Benz,Type,mean,sem,lower,upper
2022-02-04T05:30:32Z,3.0000000000000004e-9,Background,8,1.1547005383792517,6.8452994616207485,9.154700538379252
2022-02-04T05:30:32Z,3.0000000000000004e-9,Total,10.666666666666666,2.185812841434,8.480853825232666,12.852479508100666
2022-02-04T05:30:32Z,3.0000000000000004e-9,Specific,2.666666666666666,2.4720661623652216,0.1946005043014445,5.138732829031888
2022-02-04T05:30:32Z,1e-8,Background,20.666666666666668,2.4037008503093262,18.26296581635734,23.070367516975995
2022-02-04T05:30:32Z,1e-8,Total,26.666666666666668,1.2018504251546631,25.464816241512004,27.86851709182133
2022-02-04T05:30:32Z,1e-8,Specific,6,2.68741924943285,3.31258075056715,8.68741924943285
2022-02-04T05:30:32Z,3.0000000000000004e-8,Background,50.666666666666664,0.6666666666666666,50,51.33333333333333
2022-02-04T05:30:32Z,3.0000000000000004e-8,Total,67,4.358898943540674,62.64110105645933,71.35889894354068
2022-02-04T05:30:32Z,3.0000000000000004e-8,Specific,16.333333333333336,4.409585518440984,11.923747814892351,20.74291885177432
2022-02-04T05:30:32Z,1.0000000000000001e-7,Background,160.33333333333334,2.185812841434,158.14752049189934,162.51914617476734
2022-02-04T05:30:32Z,1.0000000000000001e-7,Total,192.66666666666666,6.11918658356194,186.54748008310472,198.7858532502286
2022-02-04T05:30:32Z,1.0000000000000001e-7,Specific,32.333333333333314,6.49786289653931,25.835470436794004,38.831196229872624
2022-02-04T05:30:32Z,3.0000000000000004e-7,Background,428,8.082903768654761,419.9170962313452,436.0829037686548
2022-02-04T05:30:32Z,3.0000000000000004e-7,Total,532,27.073972741361768,504.9260272586382,559.0739727413618
2022-02-04T05:30:32Z,3.0000000000000004e-7,Specific,104,28.254793103707794,75.7452068962922,132.25479310370778
2022-02-04T05:30:32Z,1e-6,Background,1435,28.61817604250837,1406.3818239574916,1463.6181760425084
2022-02-04T05:30:32Z,1e-6,Total,1690.3333333333333,9.837569708915803,1680.4957636244174,1700.1709030422492
2022-02-04T05:30:32Z,1e-6,Specific,255.33333333333326,30.261820463709345,225.07151286962392,285.5951537970426
2022-02-04T06:14:38Z,1e-9,Background,6.333333333333333,1.2018504251546631,5.13148290817867,7.535183758487996
2022-02-04T06:14:38Z,1e-9,Total,6,0.5773502691896258,5.422649730810374,6.577350269189626
2022-02-04T06:14:38Z,1e-9,Specific,-0.33333333333333304,1.3333333333333333,-1.6666666666666663,1.0000000000000002
2022-02-04T06:14:38Z,3.0000000000000004e-9,Background,8.333333333333334,1.4529663145135578,6.880367018819776,9.786299647846892
2022-02-04T06:14:38Z,3.0000000000000004e-9,Total,10.333333333333334,2.4037008503093262,7.929632483024008,12.73703418364266
2022-02-04T06:14:38Z,3.0000000000000004e-9,Specific,2,2.8087165910587863,-0.8087165910587863,4.808716591058786
2022-02-04T06:14:38Z,1e-8,Background,21,4.618802153517007,16.381197846482994,25.618802153517006
2022-02-04T06:14:38Z,1e-8,Total,25.333333333333332,3.38296385503074,21.95036947830259,28.716297188364074
2022-02-04T06:14:38Z,1e-8,Specific,4.333333333333332,5.725188012439223,-1.391854679105891,10.058521345772554
2022-02-04T06:14:38Z,3.0000000000000004e-8,Background,51.333333333333336,2.8480012484391772,48.48533208489416,54.18133458177251
2022-02-04T06:14:38Z,3.0000000000000004e-8,Total,61.666666666666664,4.333333333333334,57.33333333333333,66
2022-02-04T06:14:38Z,3.0000000000000004e-8,Specific,10.333333333333329,5.185449728701349,5.147883604631979,15.518783062034679
2022-02-04T06:14:38Z,1.0000000000000001e-7,Background,155.66666666666666,1.666666666666667,154,157.33333333333331
2022-02-04T06:14:38Z,1.0000000000000001e-7,Total,195.66666666666666,14.110673659011152,181.5559930076555,209.7773403256778
2022-02-04T06:14:38Z,1.0000000000000001e-7,Specific,40,14.208760990631413,25.79123900936859,54.20876099063141
2022-02-04T06:14:38Z,3.0000000000000004e-7,Background,433.3333333333333,8.37323779138698,424.9600955419463,441.7065711247203
2022-02-04T06:14:38Z,3.0000000000000004e-7,Total,558.6666666666666,26.56020414914849,532.1064625175181,585.2268708158151
2022-02-04T06:14:38Z,3.0000000000000004e-7,Specific,125.33333333333331,27.848798098940566,97.48453523439275,153.18213143227388
2022-02-04T06:14:38Z,1e-6,Background,1447.6666666666667,17.835669628895662,1429.830997037771,1465.5023362955624
2022-02-04T06:14:38Z,1e-6,Total,1775,7.211102550927979,1767.788897449072,1782.211102550928
2022-02-04T06:14:38Z,1e-6,Specific,327.33333333333326,19.238272040677437,308.0950612926558,346.5716053740107
2022-02-04T06:58:46Z,1e-9,Background,5.333333333333333,2.8480012484391772,2.485332084894156,8.18133458177251
2022-02-04T06:58:46Z,1e-9,Total,7.666666666666667,0.6666666666666666,7,8.333333333333334
2022-02-04T06:58:46Z,1e-9,Specific,2.333333333333334,2.9249881291307074,-0.5916547957973735,5.258321462464041
2022-02-04T06:58:46Z,3.0000000000000004e-9,Background,11.666666666666666,1.4529663145135578,10.213700352153108,13.119632981180224
2022-02-04T06:58:46Z,3.0000000000000004e-9,Total,13,2,11,15
2022-02-04T06:58:46Z,3.0000000000000004e-9,Specific,1.333333333333334,2.472066162365221,-1.1387328290318872,3.805399495698555
2022-02-04T06:58:46Z,1e-8,Background,21.333333333333332,2.4037008503093262,18.929632483024005,23.73703418364266
2022-02-04T06:58:46Z,1e-8,Total,22.333333333333332,1.2018504251546631,21.13148290817867,23.535183758487996
2022-02-04T06:58:46Z,1e-8,Specific,1,2.68741924943285,-1.6874192494328502,3.68741924943285
2022-02-04T06:58:46Z,3.0000000000000004e-8,Background,54,2.5166114784235836,51.483388521576416,56.516611478423584
2022-02-04T06:58:46Z,3.0000000000000004e-8,Total,63.666666666666664,3.8441875315569325,59.82247913510973,67.5108541982236
2022-02-04T06:58:46Z,3.0000000000000004e-8,Specific,9.666666666666664,4.594682917363408,5.071983749303256,14.261349584030071
2022-02-04T06:58:46Z,1.0000000000000001e-7,Background,158.66666666666666,11.723670263379317,146.94299640328734,170.39033693004598
2022-02-04T06:58:46Z,1.0000000000000001e-7,Total,194.33333333333334,5.6960024968783545,188.637330836455,200.0293358302117
2022-02-04T06:58:46Z,1.0000000000000001e-7,Specific,35.666666666666686,13.034143197344768,22.632523469321917,48.700809864011454
2022-02-04T06:58:46Z,3.0000000000000004e-7,Background,433.6666666666667,12.01850425154663,421.64816241512005,445.6851709182133
2022-02-04T06:58:46Z,3.0000000000000004e-7,Total,534.6666666666666,9.492687243932096,525.1739794227345,544.1593539105987
2022-02-04T06:58:46Z,3.0000000000000004e-7,Specific,100.99999999999994,15.315206676880189,85.68479332311975,116.31520667688014
2022-02-04T06:58:46Z,1e-6,Background,1470.6666666666667,22.600393310245238,1448.0662733564216,1493.267059976912
2022-02-04T06:58:46Z,1e-6,Total,1712.3333333333333,61.68288075128932,1650.650452582044,1774.0162140846226
2022-02-04T06:58:46Z,1e-6,Specific,241.66666666666652,65.69288816573341,175.97377850093312,307.3595548323999
2022-02-04T07:42:52Z,1e-9,Background,4.666666666666667,1.2018504251546631,3.464816241512004,5.86851709182133
2022-02-04T07:42:52Z,1e-9,Total,10.333333333333334,0.881917103688197,9.451416229645137,11.215250437021531
2022-02-04T07:42:52Z,1e-9,Specific,5.666666666666667,1.4907119849998598,4.175954681666807,7.1573786516665265
2022-02-04T07:42:52Z,3.0000000000000004e-9,Background,9,1,8,10
2022-02-04T07:42:52Z,3.0000000000000004e-9,Total,10.666666666666666,1.2018504251546631,9.464816241512002,11.86851709182133
2022-02-04T07:42:52Z,3.0000000000000004e-9,Specific,1.666666666666666,1.563471919941143,0.10319474672552298,3.230138586607809
2022-02-04T07:42:52Z,1e-8,Background,22.333333333333332,0.881917103688197,21.451416229645137,23.215250437021528
2022-02-04T07:42:52Z,1e-8,Total,21.333333333333332,5.897268670984711,15.43606466234862,27.230602004318044
2022-02-04T07:42:52Z,1e-8,Specific,-1,5.962847939999439,-6.962847939999439,4.962847939999439
2022-02-04T07:42:52Z,3.0000000000000004e-8,Background,55.333333333333336,1.2018504251546631,54.131482908178675,56.535183758487996
2022-02-04T07:42:52Z,3.0000000000000004e-8,Total,62.666666666666664,5.044248650140519,57.62241801652615,67.71091531680719
2022-02-04T07:42:52Z,3.0000000000000004e-8,Specific,7.333333333333329,5.185449728701348,2.1478836046319802,12.518783062034677
2022-02-04T07:42:52Z,1.0000000000000001e-7,Background,164,7.505553499465135,156.49444650053488,171.50555349946512
2022-02-04T07:42:52Z,1.0000000000000001e-7,Total,194.66666666666666,3.7564758898615485,190.9101907768051,198.4231425565282
2022-02-04T07:42:52Z,1.0000000000000001e-7,Specific,30.666666666666657,8.393118874676114,22.273547791990545,39.05978554134277
2022-02-04T07:42:52Z,3.0000000000000004e-7,Background,441,12.165525060596439,428.83447493940355,453.16552506059645
2022-02-04T07:42:52Z,3.0000000000000004e-7,Total,565.3333333333334,13.836345053678174,551.4969882796552,579.1696783870116
2022-02-04T07:42:52Z,3.0000000000000004e-7,Specific,124.33333333333337,18.42401814058064,105.90931519275273,142.757351473914
2022-02-04T07:42:52Z,1e-6,Background,1467.6666666666667,29.293533605748408,1438.3731330609182,1496.9602002724152
2022-02-04T07:42:52Z,1e-6,Total,1754.3333333333333,36.33792019976438,1717.995413133569,1790.6712535330976
2022-02-04T07:42:52Z,1e-6,Specific,286.6666666666665,46.67499925608522,239.9916674105813,333.34166592275176
2022-02-04T08:26:58Z,1e-9,Background,5.666666666666667,1.2018504251546631,4.464816241512004,6.86851709182133
2022-02-04T08:26:58Z,1e-9,Total,5.666666666666667,1.4529663145135578,4.21370035215311,7.119632981180224
2022-02-04T08:26:58Z,1e-9,Specific,0,1.885618083164127,-1.885618083164127,1.885618083164127
2022-02-04T08:26:58Z,3.0000000000000004e-9,Background,9,3.0550504633038935,5.9449495366961065,12.055050463303893
2022-02-04T08:26:58Z,3.0000000000000004e-9,Total,10,2.0816659994661326,7.918334000533868,12.081665999466132
2022-02-04T08:26:58Z,3.0000000000000004e-9,Specific,1,3.6968455021364726,-2.6968455021364726,4.696845502136473
2022-02-04T08:26:58Z,1e-8,Background,22.666666666666668,1.763834207376394,20.902832459290273,24.430500874043062
2022-02-04T08:26:58Z,1e-8,Total,27,1.5275252316519468,25.472474768348054,28.527525231651946
2022-02-04T08:26:58Z,1e-8,Specific,4.333333333333332,2.3333333333333335,1.9999999999999987,6.666666666666666
2022-02-04T08:26:58Z,3.0000000000000004e-8,Background,50.333333333333336,1.3333333333333333,49,51.66666666666667
2022-02-04T08:26:58Z,3.0000000000000004e-8,Total,54.333333333333336,2.9059326290271157,51.42740070430622,57.23926596236045
2022-02-04T08:26:58Z,3.0000000000000004e-8,Specific,4,3.197221015541813,0.802778984458187,7.197221015541813
2022-02-04T08:26:58Z,1.0000000000000001e-7,Background,158.66666666666666,1.763834207376394,156.90283245929027,160.43050087404305
2022-02-04T08:26:58Z,1.0000000000000001e-7,Total,199.33333333333334,8.252945602093298,191.08038773124005,207.58627893542663
2022-02-04T08:26:58Z,1.0000000000000001e-7,Specific,40.666666666666686,8.439325934114777,32.22734073255191,49.10599260078146
2022-02-04T08:26:58Z,3.0000000000000004e-7,Background,452,14.177446878757825,437.82255312124215,466.17744687875785
2022-02-04T08:26:58Z,3.0000000000000004e-7,Total,536,22.715633383201094,513.2843666167989,558.7156333832011
2022-02-04T08:26:58Z,3.0000000000000004e-7,Specific,84,26.77685567799177,57.22314432200823,110.77685567799176
2022-02-04T08:26:58Z,1e-6,Background,1479,34.64582706955245,1444.3541729304475,1513.6458270695525
2022-02-04T08:26:58Z,1e-6,Total,1752,59.18051481132395,1692.819485188676,1811.180514811324
2022-02-04T08:26:58Z,1e-6,Specific,273,68.57599191164987,204.42400808835015,341.57599191164985
